,Prevalence
depre_has,0.25009463885425615
anxie_has,0.23030768932615844
hyperten_has,0.18335389763499765
asthm_has,0.15998811361830503
osteoarthritis_has,0.13664170957176727
thyro_disea_has,0.09768538556450623
type_ii_diabe_melli_has,0.05910632497625953
deafness_has,0.055347902764229746
lab_ckd_has,0.05355073353187036
endom_has,0.053433161712930964
cance_solid_organ_any_has,0.052815586663996536
alcoh_misus_has,0.048577833190136886
osteo_or_mof_has,0.04821478174923611
severe_obesity_has,0.04582200143411779
psori_has,0.044460235531237284
diver_disea_has,0.036947267101208665
neuro_any_has,0.031071260150259367
post_traum_stres_disor_has,0.029589338432418816
coron_heart_disea_any_has,0.0288658195466379
chron_obstr_pulmo_disea_has,0.0256112765586341
upper_gi_acid_disor_any_has,0.022175853849185072
diabe_eye_disea_has,0.021016931633925283
venou_throm_any_has,0.020788247986098102
epile_has,0.020116409020730107
chron_liver_disea_any_has,0.019895477360964864
catar_has,0.018952318813429028
rheum_arthr_has,0.017416133179154903
strok_tia_any_has,0.01434892990264795
addis_disea_has,0.01296649203160227
infla_bowel_disea_any_has,0.01283470823454932
subst_misus_has,0.012648660521062798
conne_tissu_disea_any_excl_ra_has,0.01133340654655392
cance_skin_excl_melan_has,0.01111893487684029
uveit_any_has,0.009936756697394687
sleep_apnoe_has,0.009888952771012732
gout_has,0.008726154561721974
atria_fibri_has,0.008373439104903778
bipol_affec_disor_has,0.00804914760431269
supra_tachy_has,0.007907027823177152
polyc_ovari_syndr_has,0.007816587962454538
heart_valve_disor_any_has,0.007533640398193786
eatin_disor_has,0.007443200537471172
intel_disab_or_down_syndr_has,0.006936737317424531
chron_pancr_has,0.006917357347269685
multi_scler_has,0.006281694326190738
tuber_has,0.006121486572910678
obses_compu_disor_has,0.005773939108133773
heart_failu_has,0.005691251235473097
glaucoma_has,0.0054263916433568695
schizophrenia_schizotypal_and_delusional_disorders_has,0.004888920471062474
cance_haema_has,0.004469021117707478
bronc_has,0.0042183735037048045
perip_arter_disea_has,0.004201577529570604
type_1_diabe_melli_has,0.003969017887712453
respi_failu_has,0.003957389905619545
macul_degen_has,0.0032558349860141215
hyper_has,0.003206739061621845
sarco_has,0.003186067093456676
subar_haemo_has,0.002760999748060388
cardi_any_has,0.002254536528013747
thala_has,0.0015103456740676619
demen_has,0.001410861827272786
other_haemolytic_anaemia_has,0.0013604739048701864
cereb_palsy_has,0.0012235221157759417
hiv_has,0.0009522025336080982
pulmo_fibro_has,0.0009199025833500216
autis_has,0.0008888946311022681
aplas_anaem_has,0.0008191267385448226
sickl_cell_disea_has,0.0007467748499667311
parki_disea_has,0.0007183508937396236
prima_pulmo_hyper_has,0.0006963869275641315
cardi_condu_disor_has,0.0006795909534299317
immun_has,0.0005723551185731174
myast_gravi_has,0.0004276513414169342
abdom_aorti_aneur_has,0.00025969160007493586
motor_neuro_disea_has,0.00016020775328005996
cysti_fibro_has,0.00012661580501166028
benig_prost_hyper_has,2.3255964185815153e-05
asbes_has,1.6795974134199833e-05
