names,i,j,namei,namej,ABC,a_sig,Pi,Pj
abdom_aorti_aneur_has-addis_disea_has,0,1,abdom_aorti_aneur_has,addis_disea_has,1.06403105,False,9.622638147226363e-05,0.002077777051789989
abdom_aorti_aneur_has-alcoh_misus_has,0,2,abdom_aorti_aneur_has,alcoh_misus_has,2.509245,True,9.622638147226363e-05,0.05427049117033852
abdom_aorti_aneur_has-anxie_has,0,3,abdom_aorti_aneur_has,anxie_has,2.6557,True,9.622638147226363e-05,0.10801470719262501
abdom_aorti_aneur_has-aplas_anaem_has,0,4,abdom_aorti_aneur_has,aplas_anaem_has,1.1248425,False,9.622638147226363e-05,0.0003445142052710673
abdom_aorti_aneur_has-asbes_has,0,5,abdom_aorti_aneur_has,asbes_has,0.98379185,False,9.622638147226363e-05,9.503840145408755e-06
abdom_aorti_aneur_has-asthm_has,0,6,abdom_aorti_aneur_has,asthm_has,1.516479,False,9.622638147226363e-05,0.15965382262270347
abdom_aorti_aneur_has-atria_fibri_has,0,7,abdom_aorti_aneur_has,atria_fibri_has,27.85655,True,9.622638147226363e-05,0.002441298937351874
abdom_aorti_aneur_has-autis_has,0,8,abdom_aorti_aneur_has,autis_has,1.217621,False,9.622638147226363e-05,0.004827950793867647
abdom_aorti_aneur_has-benig_prost_hyper_has,0,9,abdom_aorti_aneur_has,benig_prost_hyper_has,4.9543,True,9.622638147226363e-05,0.0008018865122688636
abdom_aorti_aneur_has-bipol_affec_disor_has,0,10,abdom_aorti_aneur_has,bipol_affec_disor_has,3.76173,True,9.622638147226363e-05,0.0034510819528015537
abdom_aorti_aneur_has-bronc_has,0,11,abdom_aorti_aneur_has,bronc_has,1.1367705,False,9.622638147226363e-05,0.0007579312515963481
abdom_aorti_aneur_has-cance_haema_has,0,12,abdom_aorti_aneur_has,cance_haema_has,4.051135,True,9.622638147226363e-05,0.002090844831989926
abdom_aorti_aneur_has-cance_skin_excl_melan_has,0,13,abdom_aorti_aneur_has,cance_skin_excl_melan_has,4.520825,True,9.622638147226363e-05,0.0008387138928323226
abdom_aorti_aneur_has-cance_solid_organ_any_has,0,14,abdom_aorti_aneur_has,cance_solid_organ_any_has,3.42112,True,9.622638147226363e-05,0.004868342114485634
abdom_aorti_aneur_has-cardi_condu_disor_has,0,15,abdom_aorti_aneur_has,cardi_condu_disor_has,1.1264715,False,9.622638147226363e-05,0.00022215226339892963
abdom_aorti_aneur_has-cardi_any_has,0,16,abdom_aorti_aneur_has,cardi_any_has,3.893395,True,9.622638147226363e-05,0.0010442344359767868
abdom_aorti_aneur_has-catar_has,0,17,abdom_aorti_aneur_has,catar_has,3.46193,True,9.622638147226363e-05,0.0030542966267307382
abdom_aorti_aneur_has-cereb_palsy_has,0,18,abdom_aorti_aneur_has,cereb_palsy_has,3.860795,True,9.622638147226363e-05,0.0018247373079184807
abdom_aorti_aneur_has-chron_liver_disea_any_has,0,19,abdom_aorti_aneur_has,chron_liver_disea_any_has,2.372035,True,9.622638147226363e-05,0.009067851478738127
abdom_aorti_aneur_has-chron_obstr_pulmo_disea_has,0,20,abdom_aorti_aneur_has,chron_obstr_pulmo_disea_has,8.69805,True,9.622638147226363e-05,0.001991054510463134
abdom_aorti_aneur_has-chron_pancr_has,0,21,abdom_aorti_aneur_has,chron_pancr_has,6.17237,True,9.622638147226363e-05,0.002444862877406402
abdom_aorti_aneur_has-conne_tissu_disea_any_excl_ra_has,0,22,abdom_aorti_aneur_has,conne_tissu_disea_any_excl_ra_has,0.771162,False,9.622638147226363e-05,0.003925085980053816
abdom_aorti_aneur_has-coron_heart_disea_any_has,0,23,abdom_aorti_aneur_has,coron_heart_disea_any_has,10.757425,True,9.622638147226363e-05,0.005714183887427013
abdom_aorti_aneur_has-cysti_fibro_has,0,24,abdom_aorti_aneur_has,cysti_fibro_has,1.111435,False,9.622638147226363e-05,0.0002257162034534579
abdom_aorti_aneur_has-deafness_has,0,25,abdom_aorti_aneur_has,deafness_has,0.7403535,False,9.622638147226363e-05,0.034488247907670196
abdom_aorti_aneur_has-demen_has,0,26,abdom_aorti_aneur_has,demen_has,3.95377,True,9.622638147226363e-05,0.00019245276294452726
abdom_aorti_aneur_has-depre_has,0,27,abdom_aorti_aneur_has,depre_has,2.83454,True,9.622638147226363e-05,0.08989563595540323
