,Prevalence
depre_has,0.22138213568276363
anxie_has,0.21681350606074987
asthm_has,0.1670541961268144
hyperten_has,0.07309939207963599
thyro_disea_has,0.06859139631873376
endom_has,0.04993857526243917
osteoarthritis_has,0.04245292966999362
alcoh_misus_has,0.04127452376056479
severe_obesity_has,0.03996166885475818
psori_has,0.03931578642117862
deafness_has,0.038594770724917356
lab_ckd_has,0.027961436864333052
osteo_or_mof_has,0.027828305995370735
type_ii_diabe_melli_has,0.027594997442832815
post_traum_stres_disor_has,0.025235549369144218
polyc_ovari_syndr_has,0.024227181896310825
cance_solid_organ_any_has,0.0219903196722608
epile_has,0.01851046329542399
neuro_any_has,0.018183567696387803
subst_misus_has,0.017984530456652062
venou_throm_any_has,0.01580566583888265
chron_liver_disea_any_has,0.014011694426430037
upper_gi_acid_disor_any_has,0.011751105908901579
eatin_disor_has,0.011126313513969515
coron_heart_disea_any_has,0.01099054639017626
infla_bowel_disea_any_has,0.010849506756721132
diabe_eye_disea_has,0.009821367372655711
rheum_arthr_has,0.00935079588533346
diver_disea_has,0.008401744146196148
chron_obstr_pulmo_disea_has,0.007692591596674101
bipol_affec_disor_has,0.007476418700537269
addis_disea_has,0.007465873681213521
obses_compu_disor_has,0.007128433062853588
uveit_any_has,0.006852944433020674
conne_tissu_disea_any_excl_ra_has,0.00669872352541086
strok_tia_any_has,0.0064640968454574696
intel_disab_or_down_syndr_has,0.006358646652219991
tuber_has,0.006226833910673141
catar_has,0.006126656227097536
supra_tachy_has,0.005571724585185302
sleep_apnoe_has,0.005334461650400974
chron_pancr_has,0.005176286360544756
cance_skin_excl_melan_has,0.004585765278414873
multi_scler_has,0.004349820471046013
heart_valve_disor_any_has,0.0041692370151268305
type_1_diabe_melli_has,0.0040598324396429455
schizophrenia_schizotypal_and_delusional_disorders_has,0.003930655952927034
gout_has,0.0033440892530435563
atria_fibri_has,0.003117371337582976
cance_haema_has,0.00258221160690277
heart_failu_has,0.002184137127431286
bronc_has,0.002160410833952853
thala_has,0.002116912629242393
respi_failu_has,0.0020206893279131936
sarco_has,0.0018097889414382352
other_haemolytic_anaemia_has,0.0016806124547223233
glaucoma_has,0.0016357961225963947
perip_arter_disea_has,0.0015053015084650144
hyper_has,0.001474984577909239
hiv_has,0.001353716855686138
cereb_palsy_has,0.0013062642687292725
macul_degen_has,0.0012825379752508395
subar_haemo_has,0.0012654023188497492
cardi_any_has,0.0012166316044774153
autis_has,0.0010848188629305664
sickl_cell_disea_has,0.0009450973568909065
aplas_anaem_has,0.0006814718737972088
demen_has,0.0005839304450525406
immun_has,0.00047848025181506146
prima_pulmo_hyper_has,0.0004007107343024206
cardi_condu_disor_has,0.0003901657149786727
pulmo_fibro_has,0.00033744061835993313
myast_gravi_has,0.0003189868345433743
parki_disea_has,0.00020562787681308427
cysti_fibro_has,0.0001555390350252817
abdom_aorti_aneur_has,0.00012522210446950645
motor_neuro_disea_has,8.567828200545178e-05
benig_prost_hyper_has,1.18631467392164e-05
asbes_has,6.590637077342444e-06
