,Prevalence
asthm_has,0.1325445292935233
anxie_has,0.12597061319898048
depre_has,0.12232969406148421
hyperten_has,0.08255756346281432
alcoh_misus_has,0.06846583503312903
subst_misus_has,0.04112002431397646
deafness_has,0.03867627200519884
psori_has,0.03660439504775695
osteoarthritis_has,0.03554930684164164
type_ii_diabe_melli_has,0.0340049739872574
osteo_or_mof_has,0.03391354948227785
gout_has,0.030187383171219564
lab_ckd_has,0.023080981108485058
chron_liver_disea_any_has,0.01881120963268352
post_traum_stres_disor_has,0.018350380708935264
epile_has,0.01722610639094354
severe_obesity_has,0.016384753851875006
coron_heart_disea_any_has,0.016343983464519263
neuro_any_has,0.01576825617640482
upper_gi_acid_disor_any_has,0.01469710690860391
diabe_eye_disea_has,0.014049722576046038
thyro_disea_has,0.013861931700952915
sleep_apnoe_has,0.012958805847709013
venou_throm_any_has,0.010423629033951849
diver_disea_has,0.00995415184621904
cance_solid_organ_any_has,0.00976018363970838
infla_bowel_disea_any_has,0.00915480516078976
intel_disab_or_down_syndr_has,0.007883510355060656
uveit_any_has,0.007474571015219709
chron_obstr_pulmo_disea_has,0.007279367342425541
schizophrenia_schizotypal_and_delusional_disorders_has,0.006483727055846783
tuber_has,0.006439250269640516
catar_has,0.006434308404506487
atria_fibri_has,0.006370064157764103
conne_tissu_disea_any_excl_ra_has,0.006274933253934033
strok_tia_any_has,0.006074787716005836
type_1_diabe_melli_has,0.005470644703370723
bipol_affec_disor_has,0.0049986965830709
chron_pancr_has,0.004852911561617028
obses_compu_disor_has,0.004824495837096357
benig_prost_hyper_has,0.004469917013729736
heart_valve_disor_any_has,0.0037842332263831355
heart_failu_has,0.0036792185922850072
cance_haema_has,0.003570497559336357
cance_skin_excl_melan_has,0.00347907305435681
addis_disea_has,0.003477837588073303
rheum_arthr_has,0.003240628061639884
supra_tachy_has,0.0031788547474645144
autis_has,0.0025079965555200017
respi_failu_has,0.0022571968999680015
sarco_has,0.0022436067708494203
cardi_any_has,0.0022324875742978536
glaucoma_has,0.0020162809746840605
perip_arter_disea_has,0.0018321964984414592
multi_scler_has,0.0016481120221988582
hiv_has,0.0015443328543842374
bronc_has,0.0015282717926986414
cereb_palsy_has,0.0014529083494046907
subar_haemo_has,0.0012762366708631337
macul_degen_has,0.0011366289808267987
other_haemolytic_anaemia_has,0.0009747828976873307
thala_has,0.0007659890957745817
hyper_has,0.000763518163207567
aplas_anaem_has,0.0005226022379236259
eatin_disor_has,0.0005090121088050446
demen_has,0.0005077766425215373
sickl_cell_disea_has,0.0004422969294956456
cardi_condu_disor_has,0.00037805268275326135
pulmo_fibro_has,0.0003360468291140101
immun_has,0.0003175148348613992
prima_pulmo_hyper_has,0.000269331649804611
abdom_aorti_aneur_has,0.00022361939731483757
parki_disea_has,0.00021373566704677846
myast_gravi_has,0.00015566875172193112
cysti_fibro_has,0.00013837222375282768
motor_neuro_disea_has,0.00011366289808267988
asbes_has,1.976746053611824e-05
endom_has,1.729652796910346e-05
polyc_ovari_syndr_has,3.7063988505221696e-06
