,Prevalence
hyperten_has,0.2157883482402908
depre_has,0.13970879203258146
anxie_has,0.13116033397483637
asthm_has,0.12384572466493142
osteoarthritis_has,0.09696281494480861
type_ii_diabe_melli_has,0.08173756381234684
alcoh_misus_has,0.08144999348665502
gout_has,0.05758780111931219
deafness_has,0.057102372578080256
coron_heart_disea_any_has,0.05355812976057927
lab_ckd_has,0.047592888901997504
psori_has,0.04406830901274895
osteo_or_mof_has,0.03847912165699496
diver_disea_has,0.03831075783383351
diabe_eye_disea_has,0.03293417588980895
upper_gi_acid_disor_any_has,0.030589371695706354
neuro_any_has,0.029097447014553024
subst_misus_has,0.02610007938907282
chron_liver_disea_any_has,0.026073042862725725
benig_prost_hyper_has,0.025507733675468287
chron_obstr_pulmo_disea_has,0.023903976089879243
cance_solid_organ_any_has,0.02280162317472724
severe_obesity_has,0.022254747982706456
sleep_apnoe_has,0.022241229719532907
thyro_disea_has,0.022087613092560777
post_traum_stres_disor_has,0.020015632027960684
epile_has,0.019720688104174194
catar_has,0.01902019628518128
atria_fibri_has,0.01782813125987755
venou_throm_any_has,0.01751966907291751
strok_tia_any_has,0.016773706732340847
heart_failu_has,0.011577777941635514
infla_bowel_disea_any_has,0.011336907070543212
uveit_any_has,0.01040783371061577
cance_skin_excl_melan_has,0.010080937528419076
conne_tissu_disea_any_excl_ra_has,0.00938536144148927
heart_valve_disor_any_has,0.009139574838333862
intel_disab_or_down_syndr_has,0.008775810665663858
perip_arter_disea_has,0.007686976013685398
chron_pancr_has,0.007165908414995932
rheum_arthr_has,0.007006147122944917
tuber_has,0.006407656744261497
cance_haema_has,0.006246666519194705
schizophrenia_schizotypal_and_delusional_disorders_has,0.006187677734437407
glaucoma_has,0.0059984220500077425
type_1_diabe_melli_has,0.005590416288769764
bipol_affec_disor_has,0.005537572169091351
addis_disea_has,0.005281954101809727
supra_tachy_has,0.005097614149443171
cardi_any_has,0.004850598613271985
respi_failu_has,0.003957164310802075
obses_compu_disor_has,0.003908006990170994
sarco_has,0.0037310406358990996
bronc_has,0.003182936510862539
macul_degen_has,0.003077248271505713
multi_scler_has,0.0023300569979132716
subar_haemo_has,0.0023226833998186095
hiv_has,0.0021235962512627287
autis_has,0.002112535854120735
cereb_palsy_has,0.001376404977670287
hyper_has,0.0013530552503705233
demen_has,0.0013297055230707595
parki_disea_has,0.0011109554462624461
cardi_condu_disor_has,0.0010273880011896072
other_haemolytic_anaemia_has,0.0009561098862745387
pulmo_fibro_has,0.0009008079005645718
aplas_anaem_has,0.0008541084459650442
thala_has,0.0008074089913655166
abdom_aorti_aneur_has,0.0007275283453400089
prima_pulmo_hyper_has,0.0005345858618630133
sickl_cell_disea_has,0.0004706813450426071
immun_has,0.00042766868949041065
eatin_disor_has,0.0003834271009224371
myast_gravi_has,0.0002863413926760508
motor_neuro_disea_has,0.00024455767013963135
asbes_has,0.00015115876094057618
cysti_fibro_has,8.602531110439294e-05
endom_has,1.5976129205101548e-05
polyc_ovari_syndr_has,6.14466507888521e-06
