,Prevalence
hyperten_has,0.3464275330160528
osteoarthritis_has,0.29218037723401397
depre_has,0.239383598328921
anxie_has,0.22322371340688937
asthm_has,0.15666620757902683
thyro_disea_has,0.1350975901299558
lab_ckd_has,0.11589072353912362
osteo_or_mof_has,0.11247987240764262
type_ii_diabe_melli_has,0.10562926462661722
cance_solid_organ_any_has,0.0932883087381381
deafness_has,0.08644620258007253
diver_disea_has,0.08154586710603054
catar_has,0.06887164759752637
coron_heart_disea_any_has,0.06714751846127426
chron_obstr_pulmo_disea_has,0.05957257240407194
psori_has,0.049066266750322635
alcoh_misus_has,0.047308131122231235
severe_obesity_has,0.042620336222184814
neuro_any_has,0.042225860916849024
diabe_eye_disea_has,0.041028832404105944
upper_gi_acid_disor_any_has,0.03721500434432933
endom_has,0.03329575615985091
venou_throm_any_has,0.029670664129782375
strok_tia_any_has,0.029633256988759155
post_traum_stres_disor_has,0.029027941434019756
rheum_arthr_has,0.028861309624007223
atria_fibri_has,0.025618790627130718
cance_skin_excl_melan_has,0.02386575597281521
chron_liver_disea_any_has,0.023697423838210715
addis_disea_has,0.02334545664767404
epile_has,0.020636839572674422
conne_tissu_disea_any_excl_ra_has,0.020446403218374386
gout_has,0.019677856502806387
heart_valve_disor_any_has,0.01665297905370135
heart_failu_has,0.015115885622565347
glaucoma_has,0.014823429792747436
infla_bowel_disea_any_has,0.014593885972832213
uveit_any_has,0.012908864302195289
sleep_apnoe_has,0.012176024403058544
supra_tachy_has,0.011540103005663781
macul_degen_has,0.011064012119913692
bronc_has,0.010926285827964559
perip_arter_disea_has,0.010632129673554681
tuber_has,0.009027023258740094
chron_pancr_has,0.008911401186486501
subst_misus_has,0.008595140812381084
cance_haema_has,0.00827207913990781
respi_failu_has,0.0078095908508934355
bipol_affec_disor_has,0.007573245732610355
multi_scler_has,0.006694177918564654
hyper_has,0.006226588655774387
intel_disab_or_down_syndr_has,0.0058423152979903865
demen_has,0.005136680592325075
schizophrenia_schizotypal_and_delusional_disorders_has,0.004924140018329499
obses_compu_disor_has,0.004417443289924047
sarco_has,0.0043307267357338515
subar_haemo_has,0.004148792004393638
cardi_any_has,0.004092681292858807
eatin_disor_has,0.00399406246652486
type_1_diabe_melli_has,0.003232317049324716
parki_disea_has,0.0025232816944754754
pulmo_fibro_has,0.0021900180744504126
polyc_ovari_syndr_has,0.0016884223198208538
cardi_condu_disor_has,0.001674819723085137
prima_pulmo_hyper_has,0.0012616408472377377
aplas_anaem_has,0.00125143889968595
thala_has,0.0012446376013180917
other_haemolytic_anaemia_has,0.001212331434070764
cereb_palsy_has,0.0010984096864091355
abdom_aorti_aneur_has,0.0008722665156778429
immun_has,0.0008008528828153294
myast_gravi_has,0.0005798106858599306
autis_has,0.0004879931578938419
sickl_cell_disea_has,0.00040807790207150545
hiv_has,0.0003859736823759656
motor_neuro_disea_has,0.00029075550522594763
cysti_fibro_has,0.00015132888868484994
asbes_has,8.841687878215951e-05
benig_prost_hyper_has,5.6110711534832e-05
