,Prevalence
hyperten_has,0.5464091719533939
osteoarthritis_has,0.43445909524401877
lab_ckd_has,0.24429240784508852
anxie_has,0.2133536509516109
depre_has,0.20993282746610276
catar_has,0.20239250321350086
osteo_or_mof_has,0.19835593150060124
thyro_disea_has,0.16686362317037773
asthm_has,0.15976904258406932
diver_disea_has,0.1570945805863084
type_ii_diabe_melli_has,0.14621428867603764
deafness_has,0.14062279719699797
cance_solid_organ_any_has,0.1392689803872787
coron_heart_disea_any_has,0.13188622133764563
chron_obstr_pulmo_disea_has,0.09557366173238795
atria_fibri_has,0.07490566820085418
diabe_eye_disea_has,0.06130323008666086
strok_tia_any_has,0.06103578388688477
upper_gi_acid_disor_any_has,0.05380437036115603
psori_has,0.051716631421818635
cance_skin_excl_melan_has,0.050391839781067295
neuro_any_has,0.04925571173860762
venou_throm_any_has,0.04734005058672306
heart_valve_disor_any_has,0.040821826927063896
rheum_arthr_has,0.04031181324376996
conne_tissu_disea_any_excl_ra_has,0.03983497118215367
heart_failu_has,0.03935190944147282
alcoh_misus_has,0.037881991955881746
gout_has,0.03642244060206493
glaucoma_has,0.03591864659783555
macul_degen_has,0.035844010449060826
addis_disea_has,0.03363602438114193
severe_obesity_has,0.031067296927478543
demen_has,0.025258116681179252
post_traum_stres_disor_has,0.024988597255048307
perip_arter_disea_has,0.02309574159306713
bronc_has,0.02141228179292615
chron_liver_disea_any_has,0.02105361363353651
epile_has,0.020560185761081394
infla_bowel_disea_any_has,0.01674130281544139
endom_has,0.01666252021395696
supra_tachy_has,0.016544346311730313
uveit_any_has,0.01594725712153253
cance_haema_has,0.01396110627358295
tuber_has,0.013720612016419952
respi_failu_has,0.012831197910187834
chron_pancr_has,0.012039225442633826
hyper_has,0.010127710743458971
sleep_apnoe_has,0.009366836671227764
parki_disea_has,0.007894845959281834
subst_misus_has,0.007699962681925613
bipol_affec_disor_has,0.006793962764854667
cardi_any_has,0.006095285483269063
multi_scler_has,0.005485756934942157
subar_haemo_has,0.005147821039101049
cardi_condu_disor_has,0.005062818758552059
pulmo_fibro_has,0.0048969606501637845
schizophrenia_schizotypal_and_delusional_disorders_has,0.004731102541775511
sarco_has,0.004697930920097856
intel_disab_or_down_syndr_has,0.004177551105029647
abdom_aorti_aneur_has,0.0034394825227018287
obses_compu_disor_has,0.0031741095492805902
prima_pulmo_hyper_has,0.002989592403698636
type_1_diabe_melli_has,0.0024236016088236513
eatin_disor_has,0.0016461417257536178
aplas_anaem_has,0.0016399220466890576
other_haemolytic_anaemia_has,0.0014989426545590247
immun_has,0.001167226437782477
thala_has,0.0011257619106854087
myast_gravi_has,0.0008686818426835842
cereb_palsy_has,0.0007380685823278186
polyc_ovari_syndr_has,0.000499647551519675
motor_neuro_disea_has,0.00044989011900319276
asbes_has,0.0003441555749056682
sickl_cell_disea_has,0.0002798855579052121
autis_has,0.00019281005100136832
hiv_has,0.00015134552390429988
cysti_fibro_has,0.00013268648671061907
benig_prost_hyper_has,6.219679064560268e-05
