,Prevalence
hyperten_has,0.7296305804218389
lab_ckd_has,0.4502761744660765
osteoarthritis_has,0.44524541020396335
catar_has,0.42657982560017227
benig_prost_hyper_has,0.38253683016305473
coron_heart_disea_any_has,0.3589439949650952
deafness_has,0.31868959977475425
atria_fibri_has,0.2630944789950065
type_ii_diabe_melli_has,0.23492633967389054
cance_solid_organ_any_has,0.2225792293614449
diver_disea_has,0.20477901902167162
gout_has,0.16507117599807877
strok_tia_any_has,0.16143991652657816
cance_skin_excl_melan_has,0.1541525543032702
chron_obstr_pulmo_disea_has,0.15097675497072632
heart_failu_has,0.14988365063723014
asthm_has,0.1338928592131305
heart_valve_disor_any_has,0.11642389261078033
upper_gi_acid_disor_any_has,0.11637420605016686
depre_has,0.1129789577415802
diabe_eye_disea_has,0.10732297092508095
osteo_or_mof_has,0.10651970486182996
anxie_has,0.10254478001275288
demen_has,0.10114941576885812
macul_degen_has,0.09406079978800401
glaucoma_has,0.08370943299353246
thyro_disea_has,0.0764924600644269
perip_arter_disea_has,0.07444288943912154
neuro_any_has,0.06911814636004537
venou_throm_any_has,0.06876205934231557
conne_tissu_disea_any_excl_ra_has,0.05149597952913703
psori_has,0.050713416199474975
alcoh_misus_has,0.046183658090214234
abdom_aorti_aneur_has,0.038573333222918754
cardi_condu_disor_has,0.03408912112755368
cance_haema_has,0.027613306060932284
rheum_arthr_has,0.026321455484982235
bronc_has,0.026172395803141846
parki_disea_has,0.024772891012529295
epile_has,0.02374603542651772
respi_failu_has,0.021588810586549847
supra_tachy_has,0.021004993499341654
tuber_has,0.02014375978204162
chron_pancr_has,0.017286782546767476
uveit_any_has,0.017059052477289102
chron_liver_disea_any_has,0.016450392109774174
addis_disea_has,0.015825169555388093
infla_bowel_disea_any_has,0.015787904634927998
pulmo_fibro_has,0.015092292786339508
sleep_apnoe_has,0.01481901670296546
cardi_any_has,0.014467070231953427
post_traum_stres_disor_has,0.013477479566401948
asbes_has,0.012549997101617298
subst_misus_has,0.00781321165646712
hyper_has,0.006446831239596876
severe_obesity_has,0.006078322581713689
prima_pulmo_hyper_has,0.0059499656334622425
subar_haemo_has,0.004194373825119869
aplas_anaem_has,0.0036436811116539827
intel_disab_or_down_syndr_has,0.003415951042175609
bipol_affec_disor_has,0.0031965020661328123
sarco_has,0.0031923615194150235
schizophrenia_schizotypal_and_delusional_disorders_has,0.0028569772352741458
type_1_diabe_melli_has,0.001995743517974113
other_haemolytic_anaemia_has,0.0019005109434649752
myast_gravi_has,0.0018922298500293978
obses_compu_disor_has,0.0017638729017779508
multi_scler_has,0.0014036453373303412
immun_has,0.0011593530809808127
thala_has,0.0010309961327293656
motor_neuro_disea_has,0.0008281093435577233
cereb_palsy_has,0.0004927250594168454
autis_has,0.00026085444322068285
sickl_cell_disea_has,0.00022773006947837392
hiv_has,0.00013663804168702434
eatin_disor_has,0.00011179476138029266
cysti_fibro_has,5.382710733125202e-05
endom_has,2.48432803067317e-05
polyc_ovari_syndr_has,4.140546717788617e-06
