,Prevalence
hyperten_has,0.5942255338747703
osteoarthritis_has,0.3319348998828052
coron_heart_disea_any_has,0.2339700765642314
benig_prost_hyper_has,0.22766344570962138
lab_ckd_has,0.22253332299708609
type_ii_diabe_melli_has,0.20295449467151255
deafness_has,0.18649706100969934
catar_has,0.16928036918643094
cance_solid_organ_any_has,0.14425221051287546
diver_disea_has,0.13983574487101733
gout_has,0.13152950618578796
atria_fibri_has,0.12796350088694122
depre_has,0.12465058164191288
asthm_has,0.12310242460999667
anxie_has,0.12028655725444953
chron_obstr_pulmo_disea_has,0.1144382173621593
diabe_eye_disea_has,0.08815146858312851
strok_tia_any_has,0.08567076924480034
upper_gi_acid_disor_any_has,0.08081653313147251
alcoh_misus_has,0.07621994318104089
cance_skin_excl_melan_has,0.0692931374918488
heart_failu_has,0.06774726051447151
osteo_or_mof_has,0.060758893352729
neuro_any_has,0.05847427870474662
psori_has,0.056556752837527875
heart_valve_disor_any_has,0.05359268193695193
thyro_disea_has,0.04998107554732709
perip_arter_disea_has,0.04841923818817746
venou_throm_any_has,0.04579033530482049
glaucoma_has,0.03741797503796291
conne_tissu_disea_any_excl_ra_has,0.028851810135298438
macul_degen_has,0.027958028756047845
sleep_apnoe_has,0.027315053376076755
demen_has,0.025320005654535255
chron_liver_disea_any_has,0.02416401800331064
epile_has,0.02174488013753289
rheum_arthr_has,0.02140515201123611
cance_haema_has,0.019658630234435207
bronc_has,0.018354439038181795
abdom_aorti_aneur_has,0.01826779696570342
infla_bowel_disea_any_has,0.017257732804968694
severe_obesity_has,0.0156138134824185
uveit_any_has,0.014492026649277451
supra_tachy_has,0.014421344958571409
respi_failu_has,0.01433698294063194
post_traum_stres_disor_has,0.014113537595819292
parki_disea_has,0.01311487370777909
cardi_any_has,0.01303507179891743
tuber_has,0.012656582745459272
chron_pancr_has,0.01248101854596362
cardi_condu_disor_has,0.01009608149826944
addis_disea_has,0.010020839698485587
asbes_has,0.0077271048323475896
pulmo_fibro_has,0.0072391731610220115
subst_misus_has,0.006774042035085479
intel_disab_or_down_syndr_has,0.00509820194899062
bipol_affec_disor_has,0.004525908259725573
subar_haemo_has,0.004033416479322185
hyper_has,0.003946774406843811
sarco_has,0.003823651461742965
schizophrenia_schizotypal_and_delusional_disorders_has,0.0038099711345095373
type_1_diabe_melli_has,0.0031077143365269297
obses_compu_disor_has,0.0026106624470457335
multi_scler_has,0.002384937047694181
prima_pulmo_hyper_has,0.002346176120532803
aplas_anaem_has,0.0020566091940919227
other_haemolytic_anaemia_has,0.0013680327233427424
myast_gravi_has,0.0012585901054753229
immun_has,0.0010100641607347248
cereb_palsy_has,0.0008755409429393551
thala_has,0.0008322199067001682
motor_neuro_disea_has,0.0007045368525215123
autis_has,0.000611054616426425
hiv_has,0.00040128959884720445
sickl_cell_disea_has,0.00019836474488469765
eatin_disor_has,0.00016872403587893823
endom_has,5.9281418011518835e-05
cysti_fibro_has,5.244125439480512e-05
polyc_ovari_syndr_has,6.840163616713712e-06
