,Prevalence
anxie_has,0.19479976580215244
asthm_has,0.17635668530656598
depre_has,0.17011471725075544
thyro_disea_has,0.042426031686174884
polyc_ovari_syndr_has,0.040451227802063124
alcoh_misus_has,0.03656736413299659
psori_has,0.03334342236490208
deafness_has,0.03247014225534512
severe_obesity_has,0.030404785178054866
endom_has,0.02621328874312168
osteo_or_mof_has,0.024897166305280865
lab_ckd_has,0.021415209959362705
hyperten_has,0.02041788437969822
post_traum_stres_disor_has,0.0182260009228983
subst_misus_has,0.01813172636561658
epile_has,0.016426101151638145
eatin_disor_has,0.010876306819027582
venou_throm_any_has,0.009998064890666323
osteoarthritis_has,0.009300929348662045
neuro_any_has,0.008903983844317974
type_ii_diabe_melli_has,0.008670778360515831
infla_bowel_disea_any_has,0.008433851512610462
chron_liver_disea_any_has,0.0083619051399481
cance_solid_organ_any_has,0.008325931953616918
obses_compu_disor_has,0.008045589191173918
intel_disab_or_down_syndr_has,0.007424121385935229
bipol_affec_disor_has,0.006248170329315914
coron_heart_disea_any_has,0.005701129806141739
upper_gi_acid_disor_any_has,0.0054108634060901365
tuber_has,0.004840254243595532
rheum_arthr_has,0.004437106465746084
diabe_eye_disea_has,0.0042969350845245835
addis_disea_has,0.004227469621264371
uveit_any_has,0.0040500845990106135
conne_tissu_disea_any_excl_ra_has,0.004019073231483733
supra_tachy_has,0.0039471268588213695
type_1_diabe_melli_has,0.003862775939148254
chron_pancr_has,0.003855333210941803
strok_tia_any_has,0.002889018998804202
schizophrenia_schizotypal_and_delusional_disorders_has,0.0027835803492128075
catar_has,0.0027674544380988297
heart_valve_disor_any_has,0.0025305275901934612
sleep_apnoe_has,0.0024399743970149696
thala_has,0.002144746178159066
multi_scler_has,0.002137303449952615
chron_obstr_pulmo_disea_has,0.002122417993539712
diver_disea_has,0.0019375902430795032
cance_haema_has,0.0017304343079999405
autis_has,0.0017155488515870378
cereb_palsy_has,0.0015443661028386566
other_haemolytic_anaemia_has,0.0014711792754752181
gout_has,0.0014017138122150055
atria_fibri_has,0.0013967519934107047
cance_skin_excl_melan_has,0.0013917901746064037
respi_failu_has,0.0011883556036300666
bronc_has,0.0010432224036042651
heart_failu_has,0.00104198194890319
sickl_cell_disea_has,0.000948947846322548
cardi_any_has,0.0007380705471397596
sarco_has,0.0007045782702107284
hyper_has,0.0006698455385806221
macul_degen_has,0.0005991396206193342
perip_arter_disea_has,0.0005693687077935288
glaucoma_has,0.0005631664342881527
aplas_anaem_has,0.0005185100650494445
subar_haemo_has,0.0004924605163268647
hiv_has,0.0004564873299956832
immun_has,0.00045276596589245753
demen_has,0.00028158321714407634
cardi_condu_disor_has,0.0002791023077419259
cysti_fibro_has,0.00023444593850321775
prima_pulmo_hyper_has,0.0002232818461935407
myast_gravi_has,0.00019599184276988574
pulmo_fibro_has,0.00016994229404730597
abdom_aorti_aneur_has,7.814864616773924e-05
parki_disea_has,7.318682736343834e-05
motor_neuro_disea_has,5.458000684730995e-05
benig_prost_hyper_has,8.683182907526583e-06
asbes_has,3.7213641032256783e-06
