,Prevalence
hyperten_has,0.411683103344514
osteoarthritis_has,0.21069265254149405
type_ii_diabe_melli_has,0.14995146349051455
depre_has,0.1409479834822863
coron_heart_disea_any_has,0.13131208380580636
anxie_has,0.13025975107825855
asthm_has,0.11815197452640777
deafness_has,0.10418094002723485
lab_ckd_has,0.10303850449748987
benig_prost_hyper_has,0.09670750760348647
gout_has,0.09529476366715005
alcoh_misus_has,0.08814434128901409
diver_disea_has,0.07490602957751986
cance_solid_organ_any_has,0.06383698533024378
chron_obstr_pulmo_disea_has,0.0633048687814191
catar_has,0.06244464202836708
diabe_eye_disea_has,0.062439541869752146
upper_gi_acid_disor_any_has,0.05490320748975293
psori_has,0.05226302538008932
atria_fibri_has,0.05158470428430324
neuro_any_has,0.04546281389351209
osteo_or_mof_has,0.0447266910000901
strok_tia_any_has,0.04157989313467649
thyro_disea_has,0.03449067265991972
heart_failu_has,0.03133877463589117
sleep_apnoe_has,0.029756025412390325
venou_throm_any_has,0.02912700584988193
chron_liver_disea_any_has,0.028934899875386125
cance_skin_excl_melan_has,0.02714134409580138
perip_arter_disea_has,0.024409359131068977
heart_valve_disor_any_has,0.023056117045240108
severe_obesity_has,0.022629403774457386
epile_has,0.02060634085720066
post_traum_stres_disor_has,0.017653349019154496
glaucoma_has,0.01582409212926522
conne_tissu_disea_any_excl_ra_has,0.015557183828417065
infla_bowel_disea_any_has,0.014579653427221586
rheum_arthr_has,0.013913232701537017
uveit_any_has,0.012995204150849092
subst_misus_has,0.012799698070609995
cance_haema_has,0.011835768092387674
chron_pancr_has,0.009508395711106616
tuber_has,0.00919898608846735
macul_degen_has,0.008960978686437148
supra_tachy_has,0.008872575937111644
cardi_any_has,0.008600567477648554
bronc_has,0.0083183587009556
respi_failu_has,0.008129652832203082
addis_disea_has,0.007624737129324722
intel_disab_or_down_syndr_has,0.0074377313134438485
abdom_aorti_aneur_has,0.0073085272951988805
demen_has,0.005931484469166991
bipol_affec_disor_has,0.005261663637739134
schizophrenia_schizotypal_and_delusional_disorders_has,0.004974354702431245
type_1_diabe_melli_has,0.004619043652257585
parki_disea_has,0.004471139052424531
sarco_has,0.004195730487218152
subar_haemo_has,0.0034664078052827445
obses_compu_disor_has,0.003298102570989958
cardi_condu_disor_has,0.003039694534500023
multi_scler_has,0.002747285440577202
pulmo_fibro_has,0.002643582215406899
hyper_has,0.0022865711123615943
asbes_has,0.0016779521843129322
aplas_anaem_has,0.0015096469500201456
autis_has,0.0012835399180914527
cereb_palsy_has,0.0012019373802525258
other_haemolytic_anaemia_has,0.0011798366929211498
hiv_has,0.0011560359527181296
prima_pulmo_hyper_has,0.0010846337321090687
thala_has,0.0008602267530520199
immun_has,0.0007021218359890992
myast_gravi_has,0.0006766210429144347
motor_neuro_disea_has,0.00048791517416191645
sickl_cell_disea_has,0.0002856088824362438
eatin_disor_has,0.00028390882956459945
cysti_fibro_has,7.480232635234956e-05
endom_has,3.2301004561241854e-05
