names,i,j,namei,namej,ABC,a_sig,Pi,Pj
abdom_aorti_aneur_has-addis_disea_has,0,1,abdom_aorti_aneur_has,addis_disea_has,1.2308275,False,0.01826779696570342,0.010020839698485587
abdom_aorti_aneur_has-alcoh_misus_has,0,2,abdom_aorti_aneur_has,alcoh_misus_has,1.33195,True,0.01826779696570342,0.07621994318104089
abdom_aorti_aneur_has-anxie_has,0,3,abdom_aorti_aneur_has,anxie_has,1.429058,True,0.01826779696570342,0.12028655725444953
abdom_aorti_aneur_has-aplas_anaem_has,0,4,abdom_aorti_aneur_has,aplas_anaem_has,2.006245,True,0.01826779696570342,0.0020566091940919227
abdom_aorti_aneur_has-asbes_has,0,5,abdom_aorti_aneur_has,asbes_has,1.986809,True,0.01826779696570342,0.0077271048323475896
abdom_aorti_aneur_has-asthm_has,0,6,abdom_aorti_aneur_has,asthm_has,1.244433,True,0.01826779696570342,0.12310242460999667
abdom_aorti_aneur_has-atria_fibri_has,0,7,abdom_aorti_aneur_has,atria_fibri_has,2.124665,True,0.01826779696570342,0.12796350088694122
abdom_aorti_aneur_has-autis_has,0,8,abdom_aorti_aneur_has,autis_has,0.995936097,False,0.01826779696570342,0.000611054616426425
abdom_aorti_aneur_has-benig_prost_hyper_has,0,9,abdom_aorti_aneur_has,benig_prost_hyper_has,1.3525555,True,0.01826779696570342,0.22766344570962138
abdom_aorti_aneur_has-bipol_affec_disor_has,0,10,abdom_aorti_aneur_has,bipol_affec_disor_has,1.3895745000000002,False,0.01826779696570342,0.004525908259725573
abdom_aorti_aneur_has-bronc_has,0,11,abdom_aorti_aneur_has,bronc_has,1.920763,True,0.01826779696570342,0.018354439038181795
abdom_aorti_aneur_has-cance_haema_has,0,12,abdom_aorti_aneur_has,cance_haema_has,1.455764,True,0.01826779696570342,0.019658630234435207
abdom_aorti_aneur_has-cance_skin_excl_melan_has,0,13,abdom_aorti_aneur_has,cance_skin_excl_melan_has,1.2454005000000001,True,0.01826779696570342,0.0692931374918488
abdom_aorti_aneur_has-cance_solid_organ_any_has,0,14,abdom_aorti_aneur_has,cance_solid_organ_any_has,1.619535,True,0.01826779696570342,0.14425221051287546
abdom_aorti_aneur_has-cardi_condu_disor_has,0,15,abdom_aorti_aneur_has,cardi_condu_disor_has,2.42698,True,0.01826779696570342,0.01009608149826944
abdom_aorti_aneur_has-cardi_any_has,0,16,abdom_aorti_aneur_has,cardi_any_has,2.0182700000000002,True,0.01826779696570342,0.01303507179891743
abdom_aorti_aneur_has-catar_has,0,17,abdom_aorti_aneur_has,catar_has,1.3831055,True,0.01826779696570342,0.16928036918643094
abdom_aorti_aneur_has-cereb_palsy_has,0,18,abdom_aorti_aneur_has,cereb_palsy_has,1.03468525,False,0.01826779696570342,0.0008755409429393551
abdom_aorti_aneur_has-chron_liver_disea_any_has,0,19,abdom_aorti_aneur_has,chron_liver_disea_any_has,2.00303,True,0.01826779696570342,0.02416401800331064
abdom_aorti_aneur_has-chron_obstr_pulmo_disea_has,0,20,abdom_aorti_aneur_has,chron_obstr_pulmo_disea_has,2.763775,True,0.01826779696570342,0.1144382173621593
abdom_aorti_aneur_has-chron_pancr_has,0,21,abdom_aorti_aneur_has,chron_pancr_has,2.222155,True,0.01826779696570342,0.01248101854596362
abdom_aorti_aneur_has-conne_tissu_disea_any_excl_ra_has,0,22,abdom_aorti_aneur_has,conne_tissu_disea_any_excl_ra_has,1.2642825,True,0.01826779696570342,0.028851810135298438
abdom_aorti_aneur_has-coron_heart_disea_any_has,0,23,abdom_aorti_aneur_has,coron_heart_disea_any_has,2.2922599999999997,True,0.01826779696570342,0.2339700765642314
abdom_aorti_aneur_has-cysti_fibro_has,0,24,abdom_aorti_aneur_has,cysti_fibro_has,1.8448465,False,0.01826779696570342,5.244125439480512e-05
abdom_aorti_aneur_has-deafness_has,0,25,abdom_aorti_aneur_has,deafness_has,1.1773385,True,0.01826779696570342,0.18649706100969934
abdom_aorti_aneur_has-demen_has,0,26,abdom_aorti_aneur_has,demen_has,1.7165460000000001,True,0.01826779696570342,0.025320005654535255
abdom_aorti_aneur_has-depre_has,0,27,abdom_aorti_aneur_has,depre_has,1.5434945,True,0.01826779696570342,0.12465058164191288
abdom_aorti_aneur_has-diabe_eye_disea_has,0,28,abdom_aorti_aneur_has,diabe_eye_disea_has,1.121712,True,0.01826779696570342,0.08815146858312851
abdom_aorti_aneur_has-diver_disea_has,0,29,abdom_aorti_aneur_has,diver_disea_has,1.9355745,True,0.01826779696570342,0.13983574487101733
abdom_aorti_aneur_has-eatin_disor_has,0,30,abdom_aorti_aneur_has,eatin_disor_has,0.8709115000000001,False,0.01826779696570342,0.00016872403587893823
abdom_aorti_aneur_has-endom_has,0,31,abdom_aorti_aneur_has,endom_has,1.130485,False,0.01826779696570342,5.9281418011518835e-05
abdom_aorti_aneur_has-epile_has,0,32,abdom_aorti_aneur_has,epile_has,1.385525,True,0.01826779696570342,0.02174488013753289
abdom_aorti_aneur_has-glaucoma_has,0,33,abdom_aorti_aneur_has,glaucoma_has,1.07836875,False,0.01826779696570342,0.03741797503796291
abdom_aorti_aneur_has-gout_has,0,34,abdom_aorti_aneur_has,gout_has,1.3436145000000002,True,0.01826779696570342,0.13152950618578796
abdom_aorti_aneur_has-heart_failu_has,0,35,abdom_aorti_aneur_has,heart_failu_has,3.025865,True,0.01826779696570342,0.06774726051447151
abdom_aorti_aneur_has-heart_valve_disor_any_has,0,36,abdom_aorti_aneur_has,heart_valve_disor_any_has,3.145365,True,0.01826779696570342,0.05359268193695193
abdom_aorti_aneur_has-hiv_has,0,37,abdom_aorti_aneur_has,hiv_has,1.2893189999999999,False,0.01826779696570342,0.00040128959884720445
abdom_aorti_aneur_has-hyper_has,0,38,abdom_aorti_aneur_has,hyper_has,2.113425,True,0.01826779696570342,0.003946774406843811
abdom_aorti_aneur_has-hyperten_has,0,39,abdom_aorti_aneur_has,hyperten_has,1.418024,True,0.01826779696570342,0.5942255338747703
abdom_aorti_aneur_has-immun_has,0,40,abdom_aorti_aneur_has,immun_has,1.786156,False,0.01826779696570342,0.0010100641607347248
abdom_aorti_aneur_has-infla_bowel_disea_any_has,0,41,abdom_aorti_aneur_has,infla_bowel_disea_any_has,1.51514,True,0.01826779696570342,0.017257732804968694
abdom_aorti_aneur_has-intel_disab_or_down_syndr_has,0,42,abdom_aorti_aneur_has,intel_disab_or_down_syndr_has,0.865256,False,0.01826779696570342,0.00509820194899062
abdom_aorti_aneur_has-lab_ckd_has,0,43,abdom_aorti_aneur_has,lab_ckd_has,1.8199005000000001,True,0.01826779696570342,0.22253332299708609
abdom_aorti_aneur_has-macul_degen_has,0,44,abdom_aorti_aneur_has,macul_degen_has,1.3834875,True,0.01826779696570342,0.027958028756047845
abdom_aorti_aneur_has-motor_neuro_disea_has,0,45,abdom_aorti_aneur_has,motor_neuro_disea_has,1.740002,False,0.01826779696570342,0.0007045368525215123
abdom_aorti_aneur_has-multi_scler_has,0,46,abdom_aorti_aneur_has,multi_scler_has,1.444745,False,0.01826779696570342,0.002384937047694181
abdom_aorti_aneur_has-myast_gravi_has,0,47,abdom_aorti_aneur_has,myast_gravi_has,1.510622,False,0.01826779696570342,0.0012585901054753229
abdom_aorti_aneur_has-neuro_any_has,0,48,abdom_aorti_aneur_has,neuro_any_has,1.6314465,True,0.01826779696570342,0.05847427870474662
