names,i,j,namei,namej,ABC,a_sig,Pi,Pj
abdom_aorti_aneur_has-addis_disea_has,0,1,abdom_aorti_aneur_has,addis_disea_has,1.327358,False,0.0034394825227018287,0.03363602438114193
abdom_aorti_aneur_has-alcoh_misus_has,0,2,abdom_aorti_aneur_has,alcoh_misus_has,2.057795,True,0.0034394825227018287,0.037881991955881746
abdom_aorti_aneur_has-anxie_has,0,3,abdom_aorti_aneur_has,anxie_has,1.384077,True,0.0034394825227018287,0.2133536509516109
abdom_aorti_aneur_has-aplas_anaem_has,0,4,abdom_aorti_aneur_has,aplas_anaem_has,2.2758,True,0.0034394825227018287,0.0016399220466890576
abdom_aorti_aneur_has-asbes_has,0,5,abdom_aorti_aneur_has,asbes_has,1.3245675000000001,False,0.0034394825227018287,0.0003441555749056682
abdom_aorti_aneur_has-asthm_has,0,6,abdom_aorti_aneur_has,asthm_has,1.428917,True,0.0034394825227018287,0.15976904258406932
abdom_aorti_aneur_has-atria_fibri_has,0,7,abdom_aorti_aneur_has,atria_fibri_has,3.498305,True,0.0034394825227018287,0.07490566820085418
abdom_aorti_aneur_has-autis_has,0,8,abdom_aorti_aneur_has,autis_has,0.8598665,False,0.0034394825227018287,0.00019281005100136832
abdom_aorti_aneur_has-benig_prost_hyper_has,0,9,abdom_aorti_aneur_has,benig_prost_hyper_has,1.509388,False,0.0034394825227018287,6.219679064560268e-05
abdom_aorti_aneur_has-bipol_affec_disor_has,0,10,abdom_aorti_aneur_has,bipol_affec_disor_has,1.563033,False,0.0034394825227018287,0.006793962764854667
abdom_aorti_aneur_has-bronc_has,0,11,abdom_aorti_aneur_has,bronc_has,1.767912,True,0.0034394825227018287,0.02141228179292615
abdom_aorti_aneur_has-cance_haema_has,0,12,abdom_aorti_aneur_has,cance_haema_has,2.167225,True,0.0034394825227018287,0.01396110627358295
abdom_aorti_aneur_has-cance_skin_excl_melan_has,0,13,abdom_aorti_aneur_has,cance_skin_excl_melan_has,1.11635,False,0.0034394825227018287,0.050391839781067295
abdom_aorti_aneur_has-cance_solid_organ_any_has,0,14,abdom_aorti_aneur_has,cance_solid_organ_any_has,1.561575,True,0.0034394825227018287,0.1392689803872787
abdom_aorti_aneur_has-cardi_condu_disor_has,0,15,abdom_aorti_aneur_has,cardi_condu_disor_has,3.89154,True,0.0034394825227018287,0.005062818758552059
abdom_aorti_aneur_has-cardi_any_has,0,16,abdom_aorti_aneur_has,cardi_any_has,2.10385,True,0.0034394825227018287,0.006095285483269063
abdom_aorti_aneur_has-catar_has,0,17,abdom_aorti_aneur_has,catar_has,1.601734,True,0.0034394825227018287,0.20239250321350086
abdom_aorti_aneur_has-cereb_palsy_has,0,18,abdom_aorti_aneur_has,cereb_palsy_has,0.84968,False,0.0034394825227018287,0.0007380685823278186
abdom_aorti_aneur_has-chron_liver_disea_any_has,0,19,abdom_aorti_aneur_has,chron_liver_disea_any_has,2.67328,True,0.0034394825227018287,0.02105361363353651
abdom_aorti_aneur_has-chron_obstr_pulmo_disea_has,0,20,abdom_aorti_aneur_has,chron_obstr_pulmo_disea_has,4.365455,True,0.0034394825227018287,0.09557366173238795
abdom_aorti_aneur_has-chron_pancr_has,0,21,abdom_aorti_aneur_has,chron_pancr_has,2.64609,True,0.0034394825227018287,0.012039225442633826
abdom_aorti_aneur_has-conne_tissu_disea_any_excl_ra_has,0,22,abdom_aorti_aneur_has,conne_tissu_disea_any_excl_ra_has,1.823559,True,0.0034394825227018287,0.03983497118215367
abdom_aorti_aneur_has-coron_heart_disea_any_has,0,23,abdom_aorti_aneur_has,coron_heart_disea_any_has,3.4938700000000003,True,0.0034394825227018287,0.13188622133764563
abdom_aorti_aneur_has-cysti_fibro_has,0,24,abdom_aorti_aneur_has,cysti_fibro_has,1.1039382,False,0.0034394825227018287,0.00013268648671061907
abdom_aorti_aneur_has-deafness_has,0,25,abdom_aorti_aneur_has,deafness_has,1.2305105,True,0.0034394825227018287,0.14062279719699797
abdom_aorti_aneur_has-demen_has,0,26,abdom_aorti_aneur_has,demen_has,2.30861,True,0.0034394825227018287,0.025258116681179252
abdom_aorti_aneur_has-depre_has,0,27,abdom_aorti_aneur_has,depre_has,1.5993905,True,0.0034394825227018287,0.20993282746610276
abdom_aorti_aneur_has-diabe_eye_disea_has,0,28,abdom_aorti_aneur_has,diabe_eye_disea_has,1.3295504999999999,True,0.0034394825227018287,0.06130323008666086
abdom_aorti_aneur_has-diver_disea_has,0,29,abdom_aorti_aneur_has,diver_disea_has,2.038575,True,0.0034394825227018287,0.1570945805863084
abdom_aorti_aneur_has-eatin_disor_has,0,30,abdom_aorti_aneur_has,eatin_disor_has,0.87599,False,0.0034394825227018287,0.0016461417257536178
abdom_aorti_aneur_has-endom_has,0,31,abdom_aorti_aneur_has,endom_has,1.102695,False,0.0034394825227018287,0.01666252021395696
abdom_aorti_aneur_has-epile_has,0,32,abdom_aorti_aneur_has,epile_has,1.9758555,True,0.0034394825227018287,0.020560185761081394
abdom_aorti_aneur_has-glaucoma_has,0,33,abdom_aorti_aneur_has,glaucoma_has,1.122395,False,0.0034394825227018287,0.03591864659783555
abdom_aorti_aneur_has-gout_has,0,34,abdom_aorti_aneur_has,gout_has,1.7579175,True,0.0034394825227018287,0.03642244060206493
abdom_aorti_aneur_has-heart_failu_has,0,35,abdom_aorti_aneur_has,heart_failu_has,5.11773,True,0.0034394825227018287,0.03935190944147282
abdom_aorti_aneur_has-heart_valve_disor_any_has,0,36,abdom_aorti_aneur_has,heart_valve_disor_any_has,6.14459,True,0.0034394825227018287,0.040821826927063896
abdom_aorti_aneur_has-hiv_has,0,37,abdom_aorti_aneur_has,hiv_has,1.10305695,False,0.0034394825227018287,0.00015134552390429988
abdom_aorti_aneur_has-hyper_has,0,38,abdom_aorti_aneur_has,hyper_has,1.659284,True,0.0034394825227018287,0.010127710743458971
abdom_aorti_aneur_has-hyperten_has,0,39,abdom_aorti_aneur_has,hyperten_has,1.55985,True,0.0034394825227018287,0.5464091719533939
abdom_aorti_aneur_has-immun_has,0,40,abdom_aorti_aneur_has,immun_has,0.8103184999999999,False,0.0034394825227018287,0.001167226437782477
abdom_aorti_aneur_has-infla_bowel_disea_any_has,0,41,abdom_aorti_aneur_has,infla_bowel_disea_any_has,1.4339095,True,0.0034394825227018287,0.01674130281544139
abdom_aorti_aneur_has-intel_disab_or_down_syndr_has,0,42,abdom_aorti_aneur_has,intel_disab_or_down_syndr_has,0.6851565,False,0.0034394825227018287,0.004177551105029647
abdom_aorti_aneur_has-lab_ckd_has,0,43,abdom_aorti_aneur_has,lab_ckd_has,2.01538,True,0.0034394825227018287,0.24429240784508852
abdom_aorti_aneur_has-macul_degen_has,0,44,abdom_aorti_aneur_has,macul_degen_has,1.570335,True,0.0034394825227018287,0.035844010449060826
abdom_aorti_aneur_has-motor_neuro_disea_has,0,45,abdom_aorti_aneur_has,motor_neuro_disea_has,1.267935,False,0.0034394825227018287,0.00044989011900319276
abdom_aorti_aneur_has-multi_scler_has,0,46,abdom_aorti_aneur_has,multi_scler_has,0.9694078,False,0.0034394825227018287,0.005485756934942157
abdom_aorti_aneur_has-myast_gravi_has,0,47,abdom_aorti_aneur_has,myast_gravi_has,1.1196555,False,0.0034394825227018287,0.0008686818426835842
abdom_aorti_aneur_has-neuro_any_has,0,48,abdom_aorti_aneur_has,neuro_any_has,1.6842035,True,0.0034394825227018287,0.04925571173860762
abdom_aorti_aneur_has-obses_compu_disor_has,0,49,abdom_aorti_aneur_has,obses_compu_disor_has,0.9306174,False,0.0034394825227018287,0.0031741095492805902
abdom_aorti_aneur_has-osteoarthritis_has,0,50,abdom_aorti_aneur_has,osteoarthritis_has,1.231593,True,0.0034394825227018287,0.43445909524401877
abdom_aorti_aneur_has-osteo_or_mof_has,0,51,abdom_aorti_aneur_has,osteo_or_mof_has,1.568899,True,0.0034394825227018287,0.19835593150060124
abdom_aorti_aneur_has-other_haemolytic_anaemia_has,0,52,abdom_aorti_aneur_has,other_haemolytic_anaemia_has,1.1528685,False,0.0034394825227018287,0.0014989426545590247
abdom_aorti_aneur_has-parki_disea_has,0,53,abdom_aorti_aneur_has,parki_disea_has,1.315769,False,0.0034394825227018287,0.007894845959281834
abdom_aorti_aneur_has-perip_arter_disea_has,0,54,abdom_aorti_aneur_has,perip_arter_disea_has,10.550255,True,0.0034394825227018287,0.02309574159306713
abdom_aorti_aneur_has-polyc_ovari_syndr_has,0,55,abdom_aorti_aneur_has,polyc_ovari_syndr_has,0.854032,False,0.0034394825227018287,0.000499647551519675
abdom_aorti_aneur_has-post_traum_stres_disor_has,0,56,abdom_aorti_aneur_has,post_traum_stres_disor_has,1.365738,False,0.0034394825227018287,0.024988597255048307
abdom_aorti_aneur_has-prima_pulmo_hyper_has,0,57,abdom_aorti_aneur_has,prima_pulmo_hyper_has,1.9726895,False,0.0034394825227018287,0.002989592403698636
abdom_aorti_aneur_has-psori_has,0,58,abdom_aorti_aneur_has,psori_has,1.4819075000000002,True,0.0034394825227018287,0.051716631421818635
abdom_aorti_aneur_has-pulmo_fibro_has,0,59,abdom_aorti_aneur_has,pulmo_fibro_has,4.1852149999999995,True,0.0034394825227018287,0.0048969606501637845
abdom_aorti_aneur_has-respi_failu_has,0,60,abdom_aorti_aneur_has,respi_failu_has,5.216005,True,0.0034394825227018287,0.012831197910187834
abdom_aorti_aneur_has-rheum_arthr_has,0,61,abdom_aorti_aneur_has,rheum_arthr_has,1.9743680000000001,True,0.0034394825227018287,0.04031181324376996
abdom_aorti_aneur_has-sarco_has,0,62,abdom_aorti_aneur_has,sarco_has,0.8454425,False,0.0034394825227018287,0.004697930920097856
abdom_aorti_aneur_has-schizophrenia_schizotypal_and_delusional_disorders_has,0,63,abdom_aorti_aneur_has,schizophrenia_schizotypal_and_delusional_disorders_has,1.4560265000000001,False,0.0034394825227018287,0.004731102541775511
abdom_aorti_aneur_has-sickl_cell_disea_has,0,64,abdom_aorti_aneur_has,sickl_cell_disea_has,1.01224501,False,0.0034394825227018287,0.0002798855579052121
abdom_aorti_aneur_has-sleep_apnoe_has,0,65,abdom_aorti_aneur_has,sleep_apnoe_has,1.8211255,True,0.0034394825227018287,0.009366836671227764
abdom_aorti_aneur_has-strok_tia_any_has,0,66,abdom_aorti_aneur_has,strok_tia_any_has,3.005515,True,0.0034394825227018287,0.06103578388688477
abdom_aorti_aneur_has-subar_haemo_has,0,67,abdom_aorti_aneur_has,subar_haemo_has,3.56309,True,0.0034394825227018287,0.005147821039101049
abdom_aorti_aneur_has-subst_misus_has,0,68,abdom_aorti_aneur_has,subst_misus_has,1.819881,True,0.0034394825227018287,0.007699962681925613
abdom_aorti_aneur_has-supra_tachy_has,0,69,abdom_aorti_aneur_has,supra_tachy_has,2.323895,True,0.0034394825227018287,0.016544346311730313
abdom_aorti_aneur_has-thala_has,0,70,abdom_aorti_aneur_has,thala_has,0.992341185,False,0.0034394825227018287,0.0011257619106854087
abdom_aorti_aneur_has-thyro_disea_has,0,71,abdom_aorti_aneur_has,thyro_disea_has,1.4215244999999999,True,0.0034394825227018287,0.16686362317037773
abdom_aorti_aneur_has-tuber_has,0,72,abdom_aorti_aneur_has,tuber_has,1.469993,False,0.0034394825227018287,0.013720612016419952
abdom_aorti_aneur_has-type_1_diabe_melli_has,0,73,abdom_aorti_aneur_has,type_1_diabe_melli_has,0.68436,False,0.0034394825227018287,0.0024236016088236513
abdom_aorti_aneur_has-type_ii_diabe_melli_has,0,74,abdom_aorti_aneur_has,type_ii_diabe_melli_has,1.5570205,True,0.0034394825227018287,0.14621428867603764
abdom_aorti_aneur_has-upper_gi_acid_disor_any_has,0,75,abdom_aorti_aneur_has,upper_gi_acid_disor_any_has,2.461405,True,0.0034394825227018287,0.05380437036115603
abdom_aorti_aneur_has-uveit_any_has,0,76,abdom_aorti_aneur_has,uveit_any_has,1.205252,False,0.0034394825227018287,0.01594725712153253
abdom_aorti_aneur_has-venou_throm_any_has,0,77,abdom_aorti_aneur_has,venou_throm_any_has,2.633285,True,0.0034394825227018287,0.04734005058672306
abdom_aorti_aneur_has-severe_obesity_has,0,78,abdom_aorti_aneur_has,severe_obesity_has,0.892719,False,0.0034394825227018287,0.031067296927478543
addis_disea_has-alcoh_misus_has,1,2,addis_disea_has,alcoh_misus_has,1.02529905,False,0.03363602438114193,0.037881991955881746
addis_disea_has-anxie_has,1,3,addis_disea_has,anxie_has,1.2865725000000001,True,0.03363602438114193,0.2133536509516109
addis_disea_has-aplas_anaem_has,1,4,addis_disea_has,aplas_anaem_has,2.30655,True,0.03363602438114193,0.0016399220466890576
addis_disea_has-asbes_has,1,5,addis_disea_has,asbes_has,1.6374455,False,0.03363602438114193,0.0003441555749056682
addis_disea_has-asthm_has,1,6,addis_disea_has,asthm_has,1.301725,True,0.03363602438114193,0.15976904258406932
addis_disea_has-atria_fibri_has,1,7,addis_disea_has,atria_fibri_has,1.258241,True,0.03363602438114193,0.07490566820085418
addis_disea_has-autis_has,1,8,addis_disea_has,autis_has,1.421811,False,0.03363602438114193,0.00019281005100136832
addis_disea_has-benig_prost_hyper_has,1,9,addis_disea_has,benig_prost_hyper_has,1.418317,False,0.03363602438114193,6.219679064560268e-05
addis_disea_has-bipol_affec_disor_has,1,10,addis_disea_has,bipol_affec_disor_has,1.09081195,False,0.03363602438114193,0.006793962764854667
addis_disea_has-bronc_has,1,11,addis_disea_has,bronc_has,1.2607840000000001,True,0.03363602438114193,0.02141228179292615
addis_disea_has-cance_haema_has,1,12,addis_disea_has,cance_haema_has,1.0934396,False,0.03363602438114193,0.01396110627358295
addis_disea_has-cance_skin_excl_melan_has,1,13,addis_disea_has,cance_skin_excl_melan_has,1.0492346,False,0.03363602438114193,0.050391839781067295
addis_disea_has-cance_solid_organ_any_has,1,14,addis_disea_has,cance_solid_organ_any_has,1.05416385,True,0.03363602438114193,0.1392689803872787
addis_disea_has-cardi_condu_disor_has,1,15,addis_disea_has,cardi_condu_disor_has,1.230999,False,0.03363602438114193,0.005062818758552059
addis_disea_has-cardi_any_has,1,16,addis_disea_has,cardi_any_has,1.2742529999999999,True,0.03363602438114193,0.006095285483269063
addis_disea_has-catar_has,1,17,addis_disea_has,catar_has,1.210949,True,0.03363602438114193,0.20239250321350086
addis_disea_has-cereb_palsy_has,1,18,addis_disea_has,cereb_palsy_has,0.791905,False,0.03363602438114193,0.0007380685823278186
addis_disea_has-chron_liver_disea_any_has,1,19,addis_disea_has,chron_liver_disea_any_has,1.5122550000000001,True,0.03363602438114193,0.02105361363353651
addis_disea_has-chron_obstr_pulmo_disea_has,1,20,addis_disea_has,chron_obstr_pulmo_disea_has,1.193568,True,0.03363602438114193,0.09557366173238795
addis_disea_has-chron_pancr_has,1,21,addis_disea_has,chron_pancr_has,1.391331,True,0.03363602438114193,0.012039225442633826
addis_disea_has-conne_tissu_disea_any_excl_ra_has,1,22,addis_disea_has,conne_tissu_disea_any_excl_ra_has,1.5758015,True,0.03363602438114193,0.03983497118215367
addis_disea_has-coron_heart_disea_any_has,1,23,addis_disea_has,coron_heart_disea_any_has,1.4315485,True,0.03363602438114193,0.13188622133764563
addis_disea_has-cysti_fibro_has,1,24,addis_disea_has,cysti_fibro_has,0.98068095,False,0.03363602438114193,0.00013268648671061907
addis_disea_has-deafness_has,1,25,addis_disea_has,deafness_has,1.26692,True,0.03363602438114193,0.14062279719699797
addis_disea_has-demen_has,1,26,addis_disea_has,demen_has,1.1547399999999999,True,0.03363602438114193,0.025258116681179252
addis_disea_has-depre_has,1,27,addis_disea_has,depre_has,1.2917515,True,0.03363602438114193,0.20993282746610276
addis_disea_has-diabe_eye_disea_has,1,28,addis_disea_has,diabe_eye_disea_has,1.492864,True,0.03363602438114193,0.06130323008666086
addis_disea_has-diver_disea_has,1,29,addis_disea_has,diver_disea_has,1.516949,True,0.03363602438114193,0.1570945805863084
addis_disea_has-eatin_disor_has,1,30,addis_disea_has,eatin_disor_has,1.0710098000000001,False,0.03363602438114193,0.0016461417257536178
addis_disea_has-endom_has,1,31,addis_disea_has,endom_has,1.2924674999999999,True,0.03363602438114193,0.01666252021395696
addis_disea_has-epile_has,1,32,addis_disea_has,epile_has,1.176714,True,0.03363602438114193,0.020560185761081394
addis_disea_has-glaucoma_has,1,33,addis_disea_has,glaucoma_has,1.168307,True,0.03363602438114193,0.03591864659783555
addis_disea_has-gout_has,1,34,addis_disea_has,gout_has,1.3454285000000001,True,0.03363602438114193,0.03642244060206493
addis_disea_has-heart_failu_has,1,35,addis_disea_has,heart_failu_has,1.3929005,True,0.03363602438114193,0.03935190944147282
addis_disea_has-heart_valve_disor_any_has,1,36,addis_disea_has,heart_valve_disor_any_has,1.2684579999999999,True,0.03363602438114193,0.040821826927063896
addis_disea_has-hiv_has,1,37,addis_disea_has,hiv_has,0.8679865,False,0.03363602438114193,0.00015134552390429988
addis_disea_has-hyper_has,1,38,addis_disea_has,hyper_has,1.356583,True,0.03363602438114193,0.010127710743458971
addis_disea_has-hyperten_has,1,39,addis_disea_has,hyperten_has,1.1077895,True,0.03363602438114193,0.5464091719533939
addis_disea_has-immun_has,1,40,addis_disea_has,immun_has,1.548066,False,0.03363602438114193,0.001167226437782477
addis_disea_has-infla_bowel_disea_any_has,1,41,addis_disea_has,infla_bowel_disea_any_has,1.750215,True,0.03363602438114193,0.01674130281544139
addis_disea_has-intel_disab_or_down_syndr_has,1,42,addis_disea_has,intel_disab_or_down_syndr_has,0.9771966,False,0.03363602438114193,0.004177551105029647
addis_disea_has-lab_ckd_has,1,43,addis_disea_has,lab_ckd_has,1.3081985,True,0.03363602438114193,0.24429240784508852
addis_disea_has-macul_degen_has,1,44,addis_disea_has,macul_degen_has,1.273947,True,0.03363602438114193,0.035844010449060826
addis_disea_has-motor_neuro_disea_has,1,45,addis_disea_has,motor_neuro_disea_has,0.890491,False,0.03363602438114193,0.00044989011900319276
addis_disea_has-multi_scler_has,1,46,addis_disea_has,multi_scler_has,1.1216905,False,0.03363602438114193,0.005485756934942157
addis_disea_has-myast_gravi_has,1,47,addis_disea_has,myast_gravi_has,1.335208,False,0.03363602438114193,0.0008686818426835842
addis_disea_has-neuro_any_has,1,48,addis_disea_has,neuro_any_has,1.4966475,True,0.03363602438114193,0.04925571173860762
addis_disea_has-obses_compu_disor_has,1,49,addis_disea_has,obses_compu_disor_has,1.1977595,False,0.03363602438114193,0.0031741095492805902
addis_disea_has-osteoarthritis_has,1,50,addis_disea_has,osteoarthritis_has,1.2175145,True,0.03363602438114193,0.43445909524401877
addis_disea_has-osteo_or_mof_has,1,51,addis_disea_has,osteo_or_mof_has,1.27143,True,0.03363602438114193,0.19835593150060124
addis_disea_has-other_haemolytic_anaemia_has,1,52,addis_disea_has,other_haemolytic_anaemia_has,1.6244684999999999,True,0.03363602438114193,0.0014989426545590247
addis_disea_has-parki_disea_has,1,53,addis_disea_has,parki_disea_has,1.0702124,False,0.03363602438114193,0.007894845959281834
addis_disea_has-perip_arter_disea_has,1,54,addis_disea_has,perip_arter_disea_has,1.3235275,True,0.03363602438114193,0.02309574159306713
addis_disea_has-polyc_ovari_syndr_has,1,55,addis_disea_has,polyc_ovari_syndr_has,1.02336855,False,0.03363602438114193,0.000499647551519675
addis_disea_has-post_traum_stres_disor_has,1,56,addis_disea_has,post_traum_stres_disor_has,1.331243,True,0.03363602438114193,0.024988597255048307
addis_disea_has-prima_pulmo_hyper_has,1,57,addis_disea_has,prima_pulmo_hyper_has,1.333763,False,0.03363602438114193,0.002989592403698636
addis_disea_has-psori_has,1,58,addis_disea_has,psori_has,1.5290595,True,0.03363602438114193,0.051716631421818635
addis_disea_has-pulmo_fibro_has,1,59,addis_disea_has,pulmo_fibro_has,1.5317785000000002,True,0.03363602438114193,0.0048969606501637845
addis_disea_has-respi_failu_has,1,60,addis_disea_has,respi_failu_has,1.0639493,False,0.03363602438114193,0.012831197910187834
addis_disea_has-rheum_arthr_has,1,61,addis_disea_has,rheum_arthr_has,1.3813119999999999,True,0.03363602438114193,0.04031181324376996
addis_disea_has-sarco_has,1,62,addis_disea_has,sarco_has,1.762866,True,0.03363602438114193,0.004697930920097856
addis_disea_has-schizophrenia_schizotypal_and_delusional_disorders_has,1,63,addis_disea_has,schizophrenia_schizotypal_and_delusional_disorders_has,0.997620145,False,0.03363602438114193,0.004731102541775511
addis_disea_has-sickl_cell_disea_has,1,64,addis_disea_has,sickl_cell_disea_has,0.9424115,False,0.03363602438114193,0.0002798855579052121
addis_disea_has-sleep_apnoe_has,1,65,addis_disea_has,sleep_apnoe_has,1.4639565,True,0.03363602438114193,0.009366836671227764
addis_disea_has-strok_tia_any_has,1,66,addis_disea_has,strok_tia_any_has,1.263453,True,0.03363602438114193,0.06103578388688477
addis_disea_has-subar_haemo_has,1,67,addis_disea_has,subar_haemo_has,0.98425255,False,0.03363602438114193,0.005147821039101049
addis_disea_has-subst_misus_has,1,68,addis_disea_has,subst_misus_has,1.186113,False,0.03363602438114193,0.007699962681925613
addis_disea_has-supra_tachy_has,1,69,addis_disea_has,supra_tachy_has,1.362845,True,0.03363602438114193,0.016544346311730313
addis_disea_has-thala_has,1,70,addis_disea_has,thala_has,2.04157,True,0.03363602438114193,0.0011257619106854087
addis_disea_has-thyro_disea_has,1,71,addis_disea_has,thyro_disea_has,1.597697,True,0.03363602438114193,0.16686362317037773
addis_disea_has-tuber_has,1,72,addis_disea_has,tuber_has,1.223038,True,0.03363602438114193,0.013720612016419952
addis_disea_has-type_1_diabe_melli_has,1,73,addis_disea_has,type_1_diabe_melli_has,1.908634,True,0.03363602438114193,0.0024236016088236513
addis_disea_has-type_ii_diabe_melli_has,1,74,addis_disea_has,type_ii_diabe_melli_has,1.307081,True,0.03363602438114193,0.14621428867603764
addis_disea_has-upper_gi_acid_disor_any_has,1,75,addis_disea_has,upper_gi_acid_disor_any_has,1.387191,True,0.03363602438114193,0.05380437036115603
addis_disea_has-uveit_any_has,1,76,addis_disea_has,uveit_any_has,1.11698,False,0.03363602438114193,0.01594725712153253
addis_disea_has-venou_throm_any_has,1,77,addis_disea_has,venou_throm_any_has,1.2618274999999999,True,0.03363602438114193,0.04734005058672306
addis_disea_has-severe_obesity_has,1,78,addis_disea_has,severe_obesity_has,1.0604336,False,0.03363602438114193,0.031067296927478543
alcoh_misus_has-anxie_has,2,3,alcoh_misus_has,anxie_has,1.4653585,True,0.037881991955881746,0.2133536509516109
alcoh_misus_has-aplas_anaem_has,2,4,alcoh_misus_has,aplas_anaem_has,2.52141,True,0.037881991955881746,0.0016399220466890576
alcoh_misus_has-asbes_has,2,5,alcoh_misus_has,asbes_has,1.629593,False,0.037881991955881746,0.0003441555749056682
alcoh_misus_has-asthm_has,2,6,alcoh_misus_has,asthm_has,1.230804,True,0.037881991955881746,0.15976904258406932
alcoh_misus_has-atria_fibri_has,2,7,alcoh_misus_has,atria_fibri_has,1.310841,True,0.037881991955881746,0.07490566820085418
alcoh_misus_has-autis_has,2,8,alcoh_misus_has,autis_has,0.7970535,False,0.037881991955881746,0.00019281005100136832
alcoh_misus_has-benig_prost_hyper_has,2,9,alcoh_misus_has,benig_prost_hyper_has,0.90747535,False,0.037881991955881746,6.219679064560268e-05
alcoh_misus_has-bipol_affec_disor_has,2,10,alcoh_misus_has,bipol_affec_disor_has,2.478665,True,0.037881991955881746,0.006793962764854667
alcoh_misus_has-bronc_has,2,11,alcoh_misus_has,bronc_has,1.07799165,False,0.037881991955881746,0.02141228179292615
alcoh_misus_has-cance_haema_has,2,12,alcoh_misus_has,cance_haema_has,1.0780904,False,0.037881991955881746,0.01396110627358295
alcoh_misus_has-cance_skin_excl_melan_has,2,13,alcoh_misus_has,cance_skin_excl_melan_has,1.0228682,False,0.037881991955881746,0.050391839781067295
alcoh_misus_has-cance_solid_organ_any_has,2,14,alcoh_misus_has,cance_solid_organ_any_has,1.0948415,True,0.037881991955881746,0.1392689803872787
alcoh_misus_has-cardi_condu_disor_has,2,15,alcoh_misus_has,cardi_condu_disor_has,1.2361665,False,0.037881991955881746,0.005062818758552059
alcoh_misus_has-cardi_any_has,2,16,alcoh_misus_has,cardi_any_has,1.42944,True,0.037881991955881746,0.006095285483269063
alcoh_misus_has-catar_has,2,17,alcoh_misus_has,catar_has,1.1795775,True,0.037881991955881746,0.20239250321350086
alcoh_misus_has-cereb_palsy_has,2,18,alcoh_misus_has,cereb_palsy_has,0.93595155,False,0.037881991955881746,0.0007380685823278186
alcoh_misus_has-chron_liver_disea_any_has,2,19,alcoh_misus_has,chron_liver_disea_any_has,5.25221,True,0.037881991955881746,0.02105361363353651
alcoh_misus_has-chron_obstr_pulmo_disea_has,2,20,alcoh_misus_has,chron_obstr_pulmo_disea_has,2.00788,True,0.037881991955881746,0.09557366173238795
alcoh_misus_has-chron_pancr_has,2,21,alcoh_misus_has,chron_pancr_has,2.124345,True,0.037881991955881746,0.012039225442633826
alcoh_misus_has-conne_tissu_disea_any_excl_ra_has,2,22,alcoh_misus_has,conne_tissu_disea_any_excl_ra_has,0.9748623,False,0.037881991955881746,0.03983497118215367
alcoh_misus_has-coron_heart_disea_any_has,2,23,alcoh_misus_has,coron_heart_disea_any_has,1.3551745,True,0.037881991955881746,0.13188622133764563
alcoh_misus_has-cysti_fibro_has,2,24,alcoh_misus_has,cysti_fibro_has,1.0225155,False,0.037881991955881746,0.00013268648671061907
alcoh_misus_has-deafness_has,2,25,alcoh_misus_has,deafness_has,1.114988,True,0.037881991955881746,0.14062279719699797
alcoh_misus_has-demen_has,2,26,alcoh_misus_has,demen_has,1.8910375,True,0.037881991955881746,0.025258116681179252
alcoh_misus_has-depre_has,2,27,alcoh_misus_has,depre_has,1.6578725,True,0.037881991955881746,0.20993282746610276
