names,i,j,namei,namej,ABC,a_sig,Pi,Pj
abdom_aorti_aneur_has-addis_disea_has,0,1,abdom_aorti_aneur_has,addis_disea_has,1.2249385,False,7.814864616773924e-05,0.004227469621264371
abdom_aorti_aneur_has-alcoh_misus_has,0,2,abdom_aorti_aneur_has,alcoh_misus_has,1.447006,False,7.814864616773924e-05,0.03656736413299659
abdom_aorti_aneur_has-anxie_has,0,3,abdom_aorti_aneur_has,anxie_has,1.2034745,False,7.814864616773924e-05,0.19479976580215244
abdom_aorti_aneur_has-aplas_anaem_has,0,4,abdom_aorti_aneur_has,aplas_anaem_has,1.0283335,False,7.814864616773924e-05,0.0005185100650494445
abdom_aorti_aneur_has-asbes_has,0,5,abdom_aorti_aneur_has,asbes_has,1.06855415,False,7.814864616773924e-05,3.7213641032256783e-06
abdom_aorti_aneur_has-asthm_has,0,6,abdom_aorti_aneur_has,asthm_has,1.255625,False,7.814864616773924e-05,0.17635668530656598
abdom_aorti_aneur_has-atria_fibri_has,0,7,abdom_aorti_aneur_has,atria_fibri_has,1.871761,False,7.814864616773924e-05,0.0013967519934107047
abdom_aorti_aneur_has-autis_has,0,8,abdom_aorti_aneur_has,autis_has,1.539099,False,7.814864616773924e-05,0.0017155488515870378
abdom_aorti_aneur_has-benig_prost_hyper_has,0,9,abdom_aorti_aneur_has,benig_prost_hyper_has,1.087767,False,7.814864616773924e-05,8.683182907526583e-06
abdom_aorti_aneur_has-bipol_affec_disor_has,0,10,abdom_aorti_aneur_has,bipol_affec_disor_has,1.0960126,False,7.814864616773924e-05,0.006248170329315914
abdom_aorti_aneur_has-bronc_has,0,11,abdom_aorti_aneur_has,bronc_has,1.378128,False,7.814864616773924e-05,0.0010432224036042651
abdom_aorti_aneur_has-cance_haema_has,0,12,abdom_aorti_aneur_has,cance_haema_has,1.321034,False,7.814864616773924e-05,0.0017304343079999405
abdom_aorti_aneur_has-cance_skin_excl_melan_has,0,13,abdom_aorti_aneur_has,cance_skin_excl_melan_has,0.9759391,False,7.814864616773924e-05,0.0013917901746064037
abdom_aorti_aneur_has-cance_solid_organ_any_has,0,14,abdom_aorti_aneur_has,cance_solid_organ_any_has,0.993939105,False,7.814864616773924e-05,0.008325931953616918
